,policy_id,age,gender,vehicle_type,vehicle_age,annual_premium,num_claims,claim_amount,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42
0,1,56,male,truck,2,3671.1175350302215,7,75429.96387936609,51.38665257132716,71.81017379560225,16.360842084371217,29.376187302738632,56.412694376199646,63.29994438469279,19.07543297432639,86.85043905967709,80.59825889716998,9.546267869982838,39.75223291072159,2.515412982311316,34.202951460460305,93.13056456368876,38.485173715183976,56.63560374207093,46.290768840471664,68.08872600004301,88.7482517068172,82.8657959241027,38.980603069080765,13.998003121109093,73.63323872899161,16.474341585302877,89.97880013929239,56.32735581235468,38.96638295404685,45.42900490770451,27.33125231221676,72.2204559668463,46.946461882315404,73.93013730210762,4.699707251218788,82.45558783727094,74.30105835333694,65.80410387073763,83.4837573038732,52.199964209606456,87.54823784646581,23.929052826897834,88.12654585461152,42.48333124131186
1,2,69,male,car,1,1545.6054117993003,6,33357.78621573516,79.66448690151381,58.145394792862426,36.276713313747585,27.734676172462926,65.39313600171202,5.302577102981076,88.29754998308972,86.44129910669285,17.931277282480572,78.49991744235835,42.34167093062718,76.35397350913864,11.780721306768427,21.91998033894046,21.089030490099127,68.38251043580198,64.70700185389826,74.21628627707558,98.90883398561063,72.36963974686624,93.80167265892703,62.0553745629139,33.95853593034954,77.7702390646421,70.1637854015257,37.72961481623156,9.839849205582762,62.010483828573435,36.12270825977423,25.917936870732294,58.74539575062683,5.684460229254418,3.7865612107050417,74.20005058201097,85.9294478716927,64.89807271981857,39.717480265198134,90.49670187208464,14.221221306296917,55.674902441877606,64.3931260597742,44.114695078684996
2,3,46,female,truck,4,3499.5505478539403,5,71619.14100747294,33.79815504698362,94.77695820321482,25.098720631607073,50.02314789258019,92.26231491291074,24.30019141287858,70.80113308712896,69.32744274087185,81.31177919689799,45.458350557520944,92.59915339198554,91.51412362549867,9.149269734091249,73.32607259032996,75.11917895573143,6.178434422877011,26.440771405595076,81.3418916430681,2.027137268275836,92.08659530831547,66.01624168030492,50.55530293228856,12.078267964001865,13.205708991371168,96.61955545114573,17.974315158624808,30.746395299078166,61.51216366038392,8.0533257306028,5.707213360705343,99.67995211191779,27.55518419559776,3.1652102483554656,98.07529504043177,35.77520503273558,1.8544796278140097,10.092991582642874,48.3803128764863,43.528703743456155,28.903443109168958,61.06308152281237,63.408236182328196
3,4,32,male,car,14,317.5925516847313,1,7606.223594900113,70.54900246731167,5.369707859930683,68.34344870539171,16.0603146429649,5.671995355173786,79.54619212214673,86.84625789474705,62.49162621860794,94.04635188285677,49.24107867153719,21.77910000123793,23.78206472764919,33.551434607932066,51.81339133443375,15.036389033582276,46.97519452994411,15.601381602353792,19.75438885315586,39.323943172519414,32.58345625897654,57.57462843213232,29.807495380926163,42.18840999747373,27.128089950274546,8.234862134389964,49.535784220170534,89.80869926009849,39.2264293331531,35.157378138406955,5.544224615223103,62.253643113322546,65.83683986443933,69.76491246075312,53.407484642339895,66.08319827253236,15.227400774767885,79.15297600714594,47.61485385889165,88.8481260287935,39.616003811295556,38.72409635637706,21.653478824213522
4,5,60,male,truck,1,1669.4592362220474,6,35278.155505680465,18.750445711898035,10.62457084695605,68.38767411633063,34.068542357480155,2.947635212444766,4.96246277435255,38.34628345476925,1.4723891861331495,33.56941423103841,18.636938881617127,69.33626151747102,42.89951106401645,14.034197271804583,1.1521012026043387,79.89023148204372,26.63624626840184,86.94569406580493,3.563268823972976,81.76105309172435,10.502806478013227,69.79091020750138,11.154873085530248,8.734341585367634,45.48389240443558,90.26128550234131,25.240410953247473,58.60379474301891,86.28770239625547,99.07626971367083,1.1313085773312914,75.25677223065891,39.23160224635248,53.61354723951893,8.920582177544656,80.20409073909906,85.62026903572028,55.37401003296431,47.039860808423825,14.771202211510836,69.31575583743704,2.81354124824158,33.318385245386075
5,6,25,female,motorcycle,14,2835.8256141304287,4,58232.28659147395,75.05984567441264,17.367163695433984,50.18402425556384,32.39792747100996,17.826178148877347,85.50886639060361,31.34133648536701,74.80540690881162,52.98863139801888,66.08950539389278,70.72942057415355,12.211262136599398,26.771029647527477,51.69985832126177,56.144638369029224,94.79695655444975,10.950618052016392,97.46858584883918,32.660288026197705,43.03494979304274,4.472712326539008,73.58541396009166,11.577077699078842,94.31622576411046,84.56323125268159,95.55798781283701,90.32648489430511,65.14585094871656,39.70692618280355,3.802600653933763,19.212090121465963,70.46658874856561,37.02424116688881,36.77686216453089,69.92943048757094,93.98422725950422,97.97918884389664,62.31052847975022,12.75462184988988,99.59481165917379,90.14617338349531,27.915892805944907
6,7,78,male,truck,16,3234.0311816299627,5,68083.29008296854,23.599660590923754,69.01710706043322,77.79445274703211,58.71328015842009,98.64477260267364,65.81624765263335,38.058719489776706,9.153511748280573,65.83290229231477,55.124131812261766,92.24496931836367,45.68354303128908,5.2955800451324535,9.947214991950148,83.20371426764441,35.98985097939226,77.40213057670226,1.4332519286428536,64.90361759185217,78.58134691891381,39.0514972778638,38.180513337700596,95.01720928365695,18.350118730356947,89.31851829241538,49.09820846510882,41.08039869745676,88.99116791086679,66.96879199722467,85.86606747477543,53.00234051992759,75.92282133236664,67.56079081095312,83.86370489217292,92.21355885345565,56.36678887784522,79.63499162127846,36.751731537451924,69.25090720567408,64.47315938227881,98.56652269059185,80.08024032785694
7,8,38,male,truck,14,2969.795189417172,9,61249.198964251875,14.354475594376792,64.55958727498087,84.13397190060482,6.668230036302458,71.50763673777757,43.44232593632048,1.8548195724407468,25.97509361025758,7.947166585449461,20.66729377890758,71.31642687573407,13.334246364409541,59.50084216966989,65.90621958253116,0.47590400699050184,10.012369871987037,58.09843060768575,96.06788379580586,99.22592037664604,45.04351133900551,88.12171538462108,8.653077727317637,67.58869606024898,92.30845940043164,0.5762956607139547,0.8948273889257119,97.8908599390088,91.31539051024458,12.071318816153786,69.72429177797467,0.750538777440557,3.2294035920719,55.36042722481503,39.68632108307323,49.46874527185986,59.69713619213902,32.90727216111027,80.13600963599498,33.157530538343224,27.64799035560237,80.77866436700509,94.19435103574834
8,9,56,male,car,3,3549.2301251524614,7,72653.91064894733,18.54088503740543,89.2058860209694,57.97664574342731,82.96686802650952,61.46411190545019,34.64328489709159,72.47042751485581,55.149029535133685,49.408071820412026,34.03315084392068,58.4467418058375,52.33484944191521,14.527611695380449,56.55235303815722,74.91885190354829,4.1491490771571105,86.11377816788489,82.88144187117999,64.67712888159438,26.198793019307065,16.107970149571415,77.27893382727329,85.16087004702992,71.85245127128526,74.19034805271947,9.28771894944742,36.00190534981904,16.73120758608543,92.24972097486771,99.59311658980421,3.145775180772026,38.08597782926366,0.7334840576062929,45.56751270648894,80.26405932952181,75.50305900592478,42.84901356512425,28.605011331391626,43.57060739395951,9.046554050257127,91.50391636149675,41.43005974127652
9,10,75,male,motorcycle,3,229.22599155122754,7,6697.592054926685,18.20631288818554,73.28774528838984,61.89351627634338,56.237838038440216,4.7039053414747904,1.9248963848893963,34.97724568950783,45.17325848760416,36.05849765882467,59.6879287336172,90.25225390162929,73.46220404322331,75.6732313125627,1.0427227333474565,5.151559325111532,26.540588759490646,71.78184120981771,91.20747610251365,11.119137762326892,2.760317757301478,41.44006477363297,23.28946834838207,64.28991932734907,67.11449117431721,54.8938114161639,28.43244917105425,75.68046151455093,68.05618738910603,82.77453799467987,2.031272812170659,32.248040606004636,72.91389496952475,83.85497449620486,41.19708627575148,90.97413978411302,40.61052863225362,23.55759734580275,29.95462007689744,62.55934648147574,36.19676317708132,12.095744346586844,7.710116753437513
